CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
61,Male,70,46,56,1,Mid Value Customers
62,Male,19,46,55,1,Mid Value Customers
63,Female,67,47,52,1,Mid Value Customers
64,Female,54,47,59,1,Mid Value Customers
65,Male,63,48,51,1,Mid Value Customers
66,Male,18,48,59,1,Mid Value Customers
67,Female,43,48,50,1,Mid Value Customers
68,Female,68,48,48,1,Mid Value Customers
69,Male,19,48,59,1,Mid Value Customers
70,Female,32,48,47,1,Mid Value Customers
71,Male,70,49,55,1,Mid Value Customers
72,Female,47,49,42,1,Mid Value Customers
73,Female,60,50,49,1,Mid Value Customers
74,Female,60,50,56,1,Mid Value Customers
75,Male,59,54,47,1,Mid Value Customers
76,Male,26,54,54,1,Mid Value Customers
77,Female,45,54,53,1,Mid Value Customers
78,Male,40,54,48,1,Mid Value Customers
79,Female,23,54,52,1,Mid Value Customers
80,Female,49,54,42,1,Mid Value Customers
81,Male,57,54,51,1,Mid Value Customers
82,Male,38,54,55,1,Mid Value Customers
83,Male,67,54,41,1,Mid Value Customers
84,Female,46,54,44,1,Mid Value Customers
85,Female,21,54,57,1,Mid Value Customers
86,Male,48,54,46,1,Mid Value Customers
87,Female,55,57,58,1,Mid Value Customers
88,Female,22,57,55,1,Mid Value Customers
89,Female,34,58,60,1,Mid Value Customers
90,Female,50,58,46,1,Mid Value Customers
91,Female,68,59,55,1,Mid Value Customers
92,Male,18,59,41,1,Mid Value Customers
93,Male,48,60,49,1,Mid Value Customers
94,Female,40,60,40,1,Mid Value Customers
95,Female,32,60,42,1,Mid Value Customers
96,Male,24,60,52,1,Mid Value Customers
97,Female,47,60,47,1,Mid Value Customers
98,Female,27,60,50,1,Mid Value Customers
99,Male,48,61,42,1,Mid Value Customers
100,Male,20,61,49,1,Mid Value Customers
101,Female,23,62,41,1,Mid Value Customers
102,Female,49,62,48,1,Mid Value Customers
103,Male,67,62,59,1,Mid Value Customers
104,Male,26,62,55,1,Mid Value Customers
105,Male,49,62,56,1,Mid Value Customers
106,Female,21,62,42,1,Mid Value Customers
107,Female,66,63,50,1,Mid Value Customers
108,Male,54,63,46,1,Mid Value Customers
109,Male,68,63,43,1,Mid Value Customers
110,Male,66,63,48,1,Mid Value Customers
111,Male,65,63,52,1,Mid Value Customers
112,Female,19,63,54,1,Mid Value Customers
113,Female,38,64,42,1,Mid Value Customers
114,Male,19,64,46,1,Mid Value Customers
115,Female,18,65,48,1,Mid Value Customers
116,Female,19,65,50,1,Mid Value Customers
117,Female,63,65,43,1,Mid Value Customers
118,Female,49,65,59,1,Mid Value Customers
119,Female,51,67,43,1,Mid Value Customers
120,Female,50,67,57,1,Mid Value Customers
121,Male,27,67,56,1,Mid Value Customers
122,Female,38,67,40,1,Mid Value Customers
123,Female,40,69,58,1,Mid Value Customers
124,Male,39,69,91,2,High Value Customers
125,Female,23,70,29,4,Potential Customers
126,Female,31,70,77,2,High Value Customers
127,Male,43,71,35,1,Mid Value Customers
128,Male,40,71,95,2,High Value Customers
129,Male,59,71,11,4,Potential Customers
130,Male,38,71,75,2,High Value Customers
131,Male,47,71,9,4,Potential Customers
132,Male,39,71,75,2,High Value Customers
133,Female,25,72,34,1,Mid Value Customers
134,Female,31,72,71,2,High Value Customers
135,Male,20,73,5,4,Potential Customers
136,Female,29,73,88,2,High Value Customers
137,Female,44,73,7,4,Potential Customers
138,Male,32,73,73,2,High Value Customers
139,Male,19,74,10,4,Potential Customers
140,Female,35,74,72,2,High Value Customers
141,Female,57,75,5,4,Potential Customers
142,Male,32,75,93,2,High Value Customers
143,Female,28,76,40,1,Mid Value Customers
144,Female,32,76,87,2,High Value Customers
145,Male,25,77,12,4,Potential Customers
146,Male,28,77,97,2,High Value Customers
147,Male,48,77,36,4,Potential Customers
148,Female,32,77,74,2,High Value Customers
149,Female,34,78,22,4,Potential Customers
150,Male,34,78,90,2,High Value Customers
151,Male,43,78,17,4,Potential Customers
152,Male,39,78,88,2,High Value Customers
153,Female,44,78,20,4,Potential Customers
154,Female,38,78,76,2,High Value Customers
155,Female,47,78,16,4,Potential Customers
156,Female,27,78,89,2,High Value Customers
157,Male,37,78,1,4,Potential Customers
158,Female,30,78,78,2,High Value Customers
159,Male,34,78,1,4,Potential Customers
160,Female,30,78,73,2,High Value Customers
161,Female,56,79,35,4,Potential Customers
162,Female,29,79,83,2,High Value Customers
163,Male,19,81,5,4,Potential Customers
164,Female,31,81,93,2,High Value Customers
165,Male,50,85,26,4,Potential Customers
166,Female,36,85,75,2,High Value Customers
167,Male,42,86,20,4,Potential Customers
168,Female,33,86,95,2,High Value Customers
169,Female,36,87,27,4,Potential Customers
170,Male,32,87,63,2,High Value Customers
171,Male,40,87,13,4,Potential Customers
172,Male,28,87,75,2,High Value Customers
173,Male,36,87,10,4,Potential Customers
174,Male,36,87,92,2,High Value Customers
175,Female,52,88,13,4,Potential Customers
176,Female,30,88,86,2,High Value Customers
177,Male,58,88,15,4,Potential Customers
178,Male,27,88,69,2,High Value Customers
179,Male,59,93,14,4,Potential Customers
180,Male,35,93,90,2,High Value Customers
181,Female,37,97,32,4,Potential Customers
182,Female,32,97,86,2,High Value Customers
183,Male,46,98,15,4,Potential Customers
184,Female,29,98,88,2,High Value Customers
185,Female,41,99,39,4,Potential Customers
186,Male,30,99,97,2,High Value Customers
187,Female,54,101,24,4,Potential Customers
188,Male,28,101,68,2,High Value Customers
189,Female,41,103,17,4,Potential Customers
190,Female,36,103,85,2,High Value Customers
191,Female,34,103,23,4,Potential Customers
192,Female,32,103,69,2,High Value Customers
193,Male,33,113,8,4,Potential Customers
194,Female,38,113,91,2,High Value Customers
195,Female,47,120,16,4,Potential Customers
196,Female,35,120,79,2,High Value Customers
197,Female,45,126,28,4,Potential Customers
198,Male,32,126,74,2,High Value Customers
199,Male,32,137,18,4,Potential Customers
200,Male,30,137,83,2,High Value Customers
